,Tipo,Descripcion,Items,Precio,Valoracion,Imagen
61,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación privada cerca de la Estación de Sants,2 huéspedes · 1 dormitorio · 2 camas · 1 baño compartido,"Precio:
35€/noche",5.0,https://a0.muscache.com/im/pictures/92f13d14-cc5e-4486-825f-fea777b858d9.jpg?aki_policy=large
62,HABITACIÓN PRIVADA EN: APARTAMENTO,Nice room for two with free AC,2 huéspedes · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio:
31€/noche",4.29,https://a0.muscache.com/im/pictures/3045d73b-ebcc-4a44-864d-d209a22df6cb.jpg?aki_policy=large
63,HABITACIÓN PRIVADA EN: APARTAMENTO,Amplia y cómoda habitación para 2,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
34€
Precio con descuento:
29€/noche",4.33,https://a0.muscache.com/im/pictures/9f7ef1a1-d5ee-434e-ad24-f9adc88d16d5.jpg?aki_policy=large
64,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitacion exterior con cama de dos plazas,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
25€/noche",4.61,https://a0.muscache.com/im/pictures/036f655b-65fa-487c-b28b-045bccd2e90b.jpg?aki_policy=large
65,HABITACIÓN PRIVADA EN: APARTAMENTO,Great location with cozy terrace!,"2 huéspedes · 1 dormitorio · 1 cama · 2,5 baños compartidos","Precio anterior:
43€
Precio con descuento:
37€/noche",4.50,https://a0.muscache.com/im/pictures/c40b323e-fd75-4187-8efb-3c7c3b99833f.jpg?aki_policy=large
66,HABITACIÓN PRIVADA EN: APARTAMENTO,B&B Habitación privada. Cerca Plaza España,3 huéspedes · 1 dormitorio · 0 camas · 1 baño compartido,"Precio:
35€/noche",4.89,https://a0.muscache.com/im/pictures/a65bc990-0473-4e50-b45b-df2d51462723.jpg?aki_policy=large
67,HABITACIÓN PRIVADA EN: APARTAMENTO,Rock & fútbol 2,2 huéspedes · 1 dormitorio · 2 camas · 1 baño compartido,"Precio:
23€/noche",4.20,https://a0.muscache.com/im/pictures/3dd99d7c-a1d9-42ad-b0ff-ad9c92829e18.jpg?aki_policy=large
68,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación en Eixample de Barcelona,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
41€/noche",4.86,https://a0.muscache.com/im/pictures/2d16a960-534d-4ad2-ab5c-93f291839a85.jpg?aki_policy=large
69,HABITACIÓN PRIVADA EN: APARTAMENTO,Cozy double room near Sants Station,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
46€/noche",4.85,https://a0.muscache.com/im/pictures/3db46f8b-deb5-437f-a0d1-7c718c637132.jpg?aki_policy=large
70,HABITACIÓN PRIVADA EN: APARTAMENTO,"PRIVATE ROOM INSIDE GAY AREA, BARCELONA CENTER",2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
48€
Precio con descuento:
39€/noche",4.65,https://a0.muscache.com/im/pictures/9f937650-faa4-490f-ba1c-ad1855d989d3.jpg?aki_policy=large
71,HABITACIÓN PRIVADA EN: APARTAMENTO,Linda habitación+comoda+ Les Corts+escritorio+wifi,1 huésped · 1 dormitorio · 1 cama · 2 baños,"Precio:
30€/noche",4.44,https://a0.muscache.com/im/pictures/14f20b34-dd55-4321-97f3-468ddc5d1031.jpg?aki_policy=large
72,HABITACIÓN PRIVADA EN: APARTAMENTO,2 habitaciones en Pl.España para 4 personas,4 huéspedes · 2 dormitorios · 2 camas · 2 baños compartidos,"Precio:
35€/noche",3.88,https://a0.muscache.com/im/pictures/4721030a-98db-47b9-837c-97c09e14550d.jpg?aki_policy=large
73,HABITACIÓN PRIVADA EN: APTO. EN COMPLEJO RESIDENCIAL,··SINGLE PRIVATE COZY ROOM,"1 huésped · 1 dormitorio · 1 cama · 1,5 baños compartidos","Precio:
23€/noche",none,https://a0.muscache.com/im/pictures/e586886d-d7b1-4a52-bf19-87c720d2fcb6.jpg?aki_policy=large
74,HABITACIÓN PRIVADA EN: APARTAMENTO,HABITACIÓN DOBLE (1/2PERSONAS)ASEO PRIVADOS+COCINA,2 huéspedes · 1 dormitorio · 2 camas · 1 baño privado,"Precio:
38€/noche",4.71,https://a0.muscache.com/im/pictures/f5a42b0f-1339-49d9-8c19-a13cf21acb7a.jpg?aki_policy=large
75,HABITACIÓN PRIVADA EN: APARTAMENTO,"ROOM CENTRAL, IDEAL for CITY VISITORS II",3 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
41€/noche",5.0,https://a0.muscache.com/im/pictures/380e804d-5315-4144-8b4d-62a2c7356215.jpg?aki_policy=large
76,HABITACIÓN PRIVADA EN: APARTAMENTO,PRIVATE ROOM,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"Precio anterior:
48€
Precio con descuento:
43€/noche",4.74,https://a0.muscache.com/im/pictures/ec43b89f-e1b5-4702-9a58-1908fd183868.jpg?aki_policy=large
77,HABITACIÓN PRIVADA EN: APARTAMENTO,Economica habitacion para 2 en el centro,2 huéspedes · 1 dormitorio · 2 camas · 2 baños compartidos,"Precio:
29€/noche",3.67,https://a0.muscache.com/im/pictures/8e901644-5eeb-4561-b4ad-27b4d58e4c82.jpg?aki_policy=large
78,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitaciones tranquila en Pl. España,1 huésped · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio:
27€/noche",3.90,https://a0.muscache.com/im/pictures/858ae523-0ab9-41e6-ba68-ff5f97cd7867.jpg?aki_policy=large
